id;name;banned;abandoned;subscribed;plan
7a91e918-c374-4c50-b48e-90e00a9fbd74;Hat gold;false;true;true;SIMPLE
288f9a77-da27-4380-a979-f8e4ba69a838;Handcrafted;true;false;true;PREMIUM
f48bcb16-744a-417f-b168-a9d90bde34e9;copy Rubber 1080p;true;false;false;SIMPLE
05f963c2-0abf-4a61-87f0-3f731c3b1061;Ford;true;false;false;SIMPLE
db6cd093-663c-47d4-9457-9bc51caa499a;black Clothing Bedfordshire;false;false;true;SIMPLE
fd1209cf-e25d-46de-8621-b683030b374e;Supervisor rich fault-tolerant;true;false;true;SIMPLE
1e7fe615-827e-4dcb-be4e-8d8c30ead209;Israeli;false;true;false;PREMIUM
36558d71-9462-4d6d-830f-97dc91fd3404;Rubber Shirt Cambridgeshire;false;false;true;SIMPLE
6c8b8b15-2ff6-42cb-bf7f-0e0375aa8abd;Lodge Towels Consultant;false;false;true;PREMIUM
dbbe2080-fcf7-4924-8422-52b8bde2650c;reciprocal;true;true;true;PREMIUM
